gene,log2FC,pvalue,padj,significant
ENSG00000000003,0.6316601818035613,0.012611144106014827,0.44489412747481366,0
ENSG00000000419,0.04557114480926146,0.8501067391497223,0.9618973227747779,0
ENSG00000000457,0.18886972793112713,0.405678895320547,0.837405342061362,0
ENSG00000000460,0.06475563641965029,0.47267559354505595,0.871227404338742,0
ENSG00000000938,0.015226474224657711,0.3447042220434273,0.8250815138311735,0
ENSG00000000971,-0.16661022530971162,0.7054569861324986,0.9252695404900921,0
ENSG00000001036,0.12800139191907123,0.9097218891523506,0.9726011360704875,0
ENSG00000001084,0.0921196462627863,0.5967012167571022,0.8981039134389602,0
ENSG00000001167,0.10182685983542908,0.4496917980031534,0.8513238912848072,0
ENSG00000001460,-0.15241161134500866,0.17361733445746297,0.7392776250340592,0
ENSG00000001461,-0.25070919161991906,0.3643461266698109,0.8250815138311735,0
ENSG00000001497,0.2200272449339908,0.04125001660927485,0.5700250913984435,0
ENSG00000001561,0.0,0.6501474441195367,0.9119784573113036,0
ENSG00000001617,0.02430605886275848,0.7623688184872623,0.9380808229450193,0
ENSG00000001629,0.1409049512055424,0.6501474441195367,0.9119784573113036,0
ENSG00000001630,-0.08058403286483416,0.6501474441195367,0.9119784573113036,0
ENSG00000001631,0.046116062688046494,0.8798291600208448,0.9618973227747779,0
ENSG00000002016,0.02926002873281036,0.8798291600208448,0.9618973227747779,0
ENSG00000002330,0.23169557374028352,0.5453496680415029,0.8838389099367634,0
ENSG00000002549,0.5079469597935049,0.008150971598321455,0.41521812956663184,0
ENSG00000002586,0.29986070076694715,0.405678895320547,0.837405342061362,0
ENSG00000002587,0.02606310698727281,0.7623688184872623,0.9380808229450193,0
ENSG00000002745,0.3499424710569588,0.47267559354505595,0.871227404338742,0
ENSG00000002746,-0.03343106960224834,0.7623688184872623,0.9380808229450193,0
ENSG00000002822,-0.02696704760026932,0.7054569861324986,0.9252695404900921,0
ENSG00000002834,0.1167547323689589,0.7054569861324986,0.9252695404900921,0
ENSG00000002919,0.20439721869945182,0.7337299957156109,0.9380808229450193,0
ENSG00000002933,0.9264797376992499,0.0028272720932034368,0.37719741249709743,0
ENSG00000003056,0.23756617710978503,0.25683925799381546,0.7874556902355127,0
ENSG00000003096,-0.007282675943696271,0.9397429895816196,0.9726011360704875,0
ENSG00000003137,1.234158916436405,0.17361733445746297,0.7392776250340592,0
ENSG00000003147,-0.3053118976133003,0.22647606607859094,0.7737494010050152,0
ENSG00000003249,-0.18832980848155315,0.49629170226364927,0.871227404338742,0
ENSG00000003393,0.0046471609589095455,0.7623688184872623,0.9380808229450193,0
ENSG00000003400,0.10910143715938264,0.3846730627714421,0.837405342061362,0
ENSG00000003402,0.034352298955018075,0.8798291600208448,0.9618973227747779,0
ENSG00000003436,0.3910776003346624,0.24132159305275325,0.7874556902355127,0
ENSG00000003509,-0.07875411141441156,0.49629170226364927,0.871227404338742,0
ENSG00000003756,-0.07838111237127464,0.5453496680415029,0.8838389099367634,0
ENSG00000003987,-0.16660965051770588,0.22647606607859094,0.7737494010050152,0
ENSG00000003989,-0.07741863537456327,0.5967012167571022,0.8981039134389602,0
ENSG00000004059,0.16131398385125925,0.4496917980031534,0.8513238912848072,0
ENSG00000004139,0.1277396327218425,0.405678895320547,0.837405342061362,0
ENSG00000004142,0.14025818198540496,0.8205958397687718,0.9492527585004403,0
ENSG00000004399,0.33253245597648967,0.1305700181448164,0.7020243537915193,0
ENSG00000004455,-0.22891198193156279,0.06964240481943329,0.6268067036141293,0
ENSG00000004478,-0.22613392465298696,0.8798291600208448,0.9618973227747779,0
ENSG00000004487,0.06490740489070407,0.6501474441195367,0.9119784573113036,0
ENSG00000004534,-0.01238003460526851,0.8798291600208448,0.9618973227747779,0
ENSG00000004660,-0.27801849386340116,0.1305700181448164,0.7020243537915193,0
