gene,log2FC,pvalue,padj,significant
ENSG00000000003,0.6817254985959611,0.002496908917027918,0.05667212870481151,0
ENSG00000000419,0.2812527336004423,0.0820987086774072,0.2012794453479033,0
ENSG00000000457,0.33025996349171555,0.05878172137447146,0.16870320310020426,0
ENSG00000000460,0.21662554162227818,0.09630369205385092,0.2193359994218648,0
ENSG00000000938,0.7988601278921487,0.1305700181448164,0.2601415719163731,0
ENSG00000000971,0.6869662076274811,0.008150971598321455,0.07435160525791985,0
ENSG00000001036,0.47688409357316425,0.15092695009759893,0.2828975476499659,0
ENSG00000001084,0.45713344431561587,0.02334220202334447,0.10851954591224756,0
ENSG00000001167,0.18309790973222298,0.32575135451528814,0.4564789556354074,0
ENSG00000001460,0.13875797384522995,0.7623688184872623,0.8206743657414851,0
ENSG00000001461,0.2153148226817601,0.5205228833072988,0.630170298029146,0
ENSG00000001497,0.4918998164851505,0.000506541485188805,0.05667212870481151,0
ENSG00000001561,0.2274834798120615,0.3447042220434273,0.47718297552303546,0
ENSG00000001617,0.3795539286640132,0.0031970994502392713,0.060626119370268884,0
ENSG00000001629,0.32461863646589895,0.03429372105008355,0.1290827014153032,0
ENSG00000001630,0.4382743759102457,0.17361733445746297,0.30771802504606466,0
ENSG00000001631,0.2803240629959905,0.04936619476911441,0.15432411743095734,0
ENSG00000002016,0.3889096718148055,0.03429372105008355,0.1290827014153032,0
ENSG00000002330,0.3824608701482399,0.11241058468252252,0.23932699558046078,0
ENSG00000002549,0.7016587254302538,0.0014988733383913821,0.05667212870481151,0
ENSG00000002586,0.5971629543266832,0.11241058468252252,0.23932699558046078,0
ENSG00000002587,0.3964856571752636,0.21229383622689113,0.3516252851934972,0
ENSG00000002745,0.37851162325372983,0.6775849579754756,0.7561911015921201,0
ENSG00000002746,0.31797008131867915,0.09630369205385092,0.2193359994218648,0
ENSG00000002822,0.339948502060403,0.04125001660927485,0.14156770244664965,0
ENSG00000002834,0.4540945367433798,0.019109922215918784,0.0995993695487728,0
ENSG00000002919,0.34695211856983865,0.21229383622689113,0.3516252851934972,0
ENSG00000002933,1.0386497626599311,0.0006697294496520456,0.05667212870481151,0
ENSG00000003056,0.3897840212311604,0.03429372105008355,0.1290827014153032,0
ENSG00000003096,0.29686701093193923,0.5453496680415029,0.6470723860082576,0
ENSG00000003137,0.7257248807040535,0.3447042220434273,0.47718297552303546,0
ENSG00000003147,0.1990811483188558,0.5453496680415029,0.6470723860082576,0
ENSG00000003249,0.2680543982691519,0.5453496680415029,0.6470723860082576,0
ENSG00000003393,0.2654945477469526,0.06964240481943329,0.1840938310445641,0
ENSG00000003400,0.3776598894648135,0.08897301172596284,0.21356938284930732,0
ENSG00000003402,0.3978484443529981,0.015564411394457967,0.0920759360922854,0
ENSG00000003436,0.6106439775923469,0.012611144106014827,0.08452034736860742,0
ENSG00000003509,0.20577955845745882,0.2730363397874447,0.4102105316412522,0
ENSG00000003756,0.23953107489231554,0.028365505617170772,0.11838445294454787,0
ENSG00000003987,0.19410940521457168,0.09630369205385092,0.2193359994218648,0
ENSG00000003989,0.07709354314329063,0.9397429895816196,0.952153109269038,0
ENSG00000004059,0.39708735250887,0.3643461266698109,0.4914536655484717,0
ENSG00000004139,0.29110691814199247,0.09630369205385092,0.2193359994218648,0
ENSG00000004142,0.42433949555125916,0.1305700181448164,0.2601415719163731,0
ENSG00000004399,0.9649221769328388,0.002496908917027918,0.05667212870481151,0
ENSG00000004455,0.1283135501606583,0.04125001660927485,0.14156770244664965,0
ENSG00000004478,0.24678470741832748,0.6501474441195367,0.7318730758503017,0
ENSG00000004487,0.3541808984339023,0.028365505617170772,0.11838445294454787,0
ENSG00000004534,0.27433761758016667,0.06964240481943329,0.1840938310445641,0
ENSG00000004660,0.2419186523395051,0.4496917980031534,0.5666914173546389,0
ENSG00000004700,0.30380563480156886,0.10410988968639412,0.23210594178055885,0
ENSG00000004766,0.3538937944510394,0.0820987086774072,0.2012794453479033,0
ENSG00000004776,0.5218142566279218,0.06964240481943329,0.1840938310445641,0
ENSG00000004777,0.48278530372082706,0.00021218287145696735,0.05667212870481151,0
ENSG00000004779,0.24327115101236388,0.8205958397687718,0.8656941728582614,0
ENSG00000004799,0.7449653099168732,0.012611144106014827,0.08452034736860742,0
ENSG00000004838,0.3013149281157203,0.21229383622689113,0.3516252851934972,0
ENSG00000004864,0.37762399590700574,0.04125001660927485,0.14156770244664965,0
ENSG00000004866,0.3929913932515862,0.008150971598321455,0.07435160525791985,0
ENSG00000004897,0.2728315665364864,0.17361733445746297,0.30771802504606466,0
ENSG00000004939,-0.012711051749553845,0.7913367801160693,0.844732002230512,0
ENSG00000004961,0.23870224652349376,0.6775849579754756,0.7561911015921201,0
ENSG00000004975,0.31753407559681907,0.05878172137447146,0.16870320310020426,0
ENSG00000005007,0.46297866620241807,0.005158957574097123,0.0663082460654251,0
ENSG00000005020,0.11956357022228215,0.6231762239083831,0.7133911717880214,0
ENSG00000005022,0.21970959861098774,0.8205958397687718,0.8656941728582614,0
ENSG00000005059,0.5412852484785156,0.025748080832299403,0.11582931614702746,0
ENSG00000005075,0.6613618660076176,0.005795358548033702,0.06985420096938734,0
ENSG00000005100,0.458962678265579,0.012611144106014827,0.08452034736860742,0
ENSG00000005108,0.5736362613665617,0.012611144106014827,0.08452034736860742,0
ENSG00000005156,0.4320269004549062,0.015564411394457967,0.0920759360922854,0
ENSG00000005175,0.19529052147559292,0.32575135451528814,0.4564789556354074,0
ENSG00000005187,0.3499424710569591,0.4496917980031534,0.5666914173546389,0
ENSG00000005189,0.2641104417150313,0.08897301172596284,0.21356938284930732,0
ENSG00000005194,0.3399655966802393,0.405678895320547,0.5281511831020989,0
ENSG00000005206,0.3580401182909781,0.0031970994502392713,0.060626119370268884,0
ENSG00000005238,0.38238428196009244,0.04936619476911441,0.15432411743095734,0
ENSG00000005243,0.3758314170193567,0.10410988968639412,0.23210594178055885,0
ENSG00000005249,0.25325014921430944,0.2899184539790305,0.42346650145547243,0
ENSG00000005302,0.2874421186315711,0.2730363397874447,0.4102105316412522,0
ENSG00000005339,0.4483034331142907,0.005158957574097123,0.0663082460654251,0
ENSG00000005379,0.3851171027726217,0.010165201897657461,0.07930506234067636,0
ENSG00000005381,0.6033410300360107,0.06402210130312946,0.17962095320178062,0
ENSG00000005436,0.25139229305900035,0.10410988968639412,0.23210594178055885,0
ENSG00000005448,0.32381788235227915,0.06964240481943329,0.1840938310445641,0
ENSG00000005469,0.33371252642228927,0.0820987086774072,0.2012794453479033,0
ENSG00000005471,0.40742431516896854,0.25683925799381546,0.3911626085941248,0
