gene,spearman_rho,pvalue,padj,trend_significant
ENSG00000000003,0.4496469704698104,0.0021978298498992466,0.11804465585505654,0
ENSG00000000419,0.0848307458543717,0.6045475675865664,0.8987461856747299,0
ENSG00000000457,0.2575499672247006,0.10495112415488239,0.5737348726184898,0
ENSG00000000460,0.15482525574533998,0.3404584571839082,0.7873101822377878,0
ENSG00000000938,-0.0928836708787222,0.5704136603034269,0.8851719508576935,0
ENSG00000000971,0.06647463043077124,0.6852968805582291,0.924024020297705,0
ENSG00000001036,0.05822640226849666,0.7227549407339657,0.9364703167139014,0
ENSG00000001084,0.13556225734073948,0.40525323069793284,0.8216758922030395,0
ENSG00000001167,0.15834758663933718,0.32931319104191137,0.7792603154531965,0
ENSG00000001460,-0.2107749630310912,0.18966906726291843,0.6756993631937006,0
ENSG00000001461,-0.1120509597665905,0.4927768930114782,0.858947049055201,0
ENSG00000001497,0.33185055285801685,0.032368674619914994,0.3772806838281486,0
ENSG00000001561,0.11738174236742643,0.4721559303516556,0.8509001686712746,0
ENSG00000001617,0.13671197579158614,0.4012065218613565,0.8193464557426772,0
ENSG00000001629,0.1349351381857322,0.4074699528263026,0.8225696900800227,0
ENSG00000001630,-0.03387129160127627,0.8366742811171406,0.9641970446268141,0
ENSG00000001631,0.0739030208731161,0.652157358406384,0.9123928766338784,0
ENSG00000002016,0.07615042532682471,0.6422509807057204,0.909586501035502,0
ENSG00000002330,0.12925188869817264,0.4278598534753306,0.8328580121108146,0
ENSG00000002549,0.3914340454118236,0.009668529289977634,0.23323872772283916,0
ENSG00000002586,0.22963013059183085,0.15124855039486462,0.6379158546982685,0
ENSG00000002587,0.10044866822359466,0.5391417008480541,0.8747382447359586,0
ENSG00000002745,0.16227701757636218,0.31714019670057003,0.7718638710802391,0
ENSG00000002746,0.07196556511128505,0.660743107701987,0.9141778188871611,0
ENSG00000002822,0.0005748883196979923,0.9972098754198984,0.9990613819517652,0
ENSG00000002834,0.15186735537092866,0.3499873889458378,0.7920327310237469,0
ENSG00000002919,0.10547121366474418,0.5188268807500873,0.8663530195591789,0
